"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Student loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529017","1.24.1.3.5.1","11100","","","","0"
"2005","Canada","2016A000011124","Student loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529017","1.24.1.3.5.1","9600","E","","","0"
"2012","Canada","2016A000011124","Student loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529017","1.24.1.3.5.1","10900","E","","","0"
"2016","Canada","2016A000011124","Student loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529017","1.24.1.3.5.1","11000","","","","0"
"1999","Canada","2016A000011124","Vehicle loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529143","1.25.1.3.5.1","9700","","","","0"
"2005","Canada","2016A000011124","Vehicle loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529143","1.25.1.3.5.1","12000","","","","0"
"2012","Canada","2016A000011124","Vehicle loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529143","1.25.1.3.5.1","11600","","","","0"
"2016","Canada","2016A000011124","Vehicle loans","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529143","1.25.1.3.5.1","14000","","","","0"
"1999","Canada","2016A000011124","Other debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529269","1.26.1.3.5.1","3500","","","","0"
"2005","Canada","2016A000011124","Other debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529269","1.26.1.3.5.1","1900","E","","","0"
"2012","Canada","2016A000011124","Other debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529269","1.26.1.3.5.1","4200","","","","0"
"2016","Canada","2016A000011124","Other debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529269","1.26.1.3.5.1","2500","","","","0"
"1999","Canada","2016A000011124","Net Worth (assets less debts)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529395","1.27.1.3.5.1","40100","","","","0"
"2005","Canada","2016A000011124","Net Worth (assets less debts)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529395","1.27.1.3.5.1","41600","","","","0"
"2012","Canada","2016A000011124","Net Worth (assets less debts)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529395","1.27.1.3.5.1","51700","","","","0"
"2016","Canada","2016A000011124","Net Worth (assets less debts)","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80529395","1.27.1.3.5.1","77200","","","","0"


